Item_Description,Amount,Traffic_Source,Session_Duration
Puffer Vest,115,Direct,"1,038"
Canvas Tote,18,Direct,"3,461"
Google Stickers,5,Direct,"3,291"
YouTube Cap,15,Organic Search,"3,348"
Notebook,20,Referral,751
Android T-Shirt,20,Organic Search,"2,261"
Google Stickers,5,Paid Search,191
Google Stickers,5,Direct,"1,461"
Google Stickers,5,Paid Search,"1,494"
Backpack,125,Direct,522
Google Hoodie,124,Referral,570
Lanyard,6,Organic Search,"2,745"
Google Hoodie,124,Organic Search,"2,611"
Canvas Tote,18,Organic Search,933
Notebook,20,Paid Search,749
Google Water Bottle,10,Organic Search,"2,255"
Android T-Shirt,20,Referral,"2,395"
Puffer Vest,115,Paid Search,"2,044"
Greeting Cards,6,Organic Search,"2,820"
Lanyard,6,Direct,"2,298"
Google Stickers,5,Direct,"1,134"
Puffer Vest,115,Referral,"1,489"
Lanyard,6,Organic Search,"1,628"
Google Hoodie,124,Organic Search,"2,914"
YouTube Cap,15,Social Media,"1,871"
Google Water Bottle,10,Social Media,"1,943"
Google Stickers,5,Organic Search,"3,049"
Google Stickers,5,Direct,"3,029"
Lanyard,6,Organic Search,"3,522"
Canvas Tote,18,Direct,"3,426"
Google Stickers,5,Referral,"3,065"
Google Hoodie,124,Social Media,"3,446"
Backpack,125,Referral,"3,295"
Canvas Tote,18,Referral,"1,737"
Google Stickers,5,Direct,"1,311"
Google Stickers,5,Direct,237
YouTube Cap,15,Social Media,823
Greeting Cards,6,Direct,"1,388"
Google Stickers,5,Social Media,623
Google Stickers,5,Organic Search,"3,001"
Backpack,125,Organic Search,"2,750"
Google Hoodie,124,Social Media,"1,057"
Google Hoodie,124,Referral,657
Backpack,125,Direct,"1,734"
Google Hoodie,124,Referral,"1,894"
Google Hoodie,124,Social Media,"3,118"
Backpack,125,Referral,"2,561"
Notebook,20,Organic Search,"2,962"
Notebook,20,Social Media,"3,517"
YouTube Cap,15,Organic Search,"2,793"
Google Hoodie,124,Direct,"1,066"
Notebook,20,Direct,785
Google Stickers,5,Social Media,197
Backpack,125,Social Media,"2,558"
Lanyard,6,Direct,996
Canvas Tote,18,Organic Search,152
Backpack,125,Organic Search,418
Android T-Shirt,20,Paid Search,"2,345"
Google Stickers,5,Paid Search,"2,817"
Notebook,20,Organic Search,"3,071"
Notebook,20,Direct,"1,080"
Greeting Cards,6,Referral,676
Puffer Vest,115,Organic Search,"1,611"
Google Hoodie,124,Direct,"2,865"
Google Hoodie,124,Direct,242
,,,
Android T-Shirt,20,Organic Search,"2,151"
Android T-Shirt,20,Organic Search,713
Google Stickers,5,Referral,"2,112"
Canvas Tote,18,Social Media,"1,386"
Google Stickers,5,Social Media,"3,009"
Google Stickers,5,Direct,"2,626"
YouTube Cap,15,Paid Search,"2,097"
Google Stickers,5,Social Media,"2,195"
YouTube Cap,15,Direct,"3,274"
Google Hoodie,124,Paid Search,"1,179"
Notebook,20,Paid Search,"3,085"
Google Hoodie,124,Referral,129
Google Water Bottle,10,Direct,"3,586"
Google Hoodie,124,Paid Search,"2,831"
Google Stickers,5,Direct,"3,362"
Google Stickers,5,Organic Search,719
Google Stickers,5,Direct,"1,141"
Google Stickers,5,Paid Search,"3,557"
Google Water Bottle,10,Direct,"3,227"
Android T-Shirt,20,Social Media,166
Google Hoodie,124,Referral,358
Google Stickers,5,Social Media,"2,786"
Android T-Shirt,20,Social Media,"1,345"
Lanyard,6,Referral,"1,778"
Google Stickers,5,Direct,"1,712"
Google Water Bottle,10,Referral,"2,058"
Android T-Shirt,20,Paid Search,"2,808"
Google Hoodie,124,Referral,"1,666"
Canvas Tote,18,Referral,"2,661"
Backpack,125,Direct,"2,928"
Google Stickers,5,Paid Search,"2,609"
Google Water Bottle,10,Organic Search,399
Google Hoodie,124,Direct,"3,581"
Notebook,20,Direct,"1,719"
Google Stickers,5,Paid Search,"1,258"
Backpack,125,Paid Search,"2,223"
Google Stickers,5,Paid Search,"3,095"
Backpack,125,Direct,"3,358"
Notebook,20,Organic Search,"1,279"
Google Stickers,5,Paid Search,676
Google Stickers,5,Organic Search,"3,038"
Google Stickers,5,Organic Search,"2,809"
Google Hoodie,124,Social Media,"3,375"
Google Stickers,5,Paid Search,"3,149"
Greeting Cards,6,Referral,"1,752"
Google Stickers,5,Direct,76
YouTube Cap,15,Social Media,"1,500"
Google Stickers,5,Referral,85
Google Stickers,5,Paid Search,"2,662"
YouTube Cap,15,Social Media,"2,333"
Google Stickers,5,Organic Search,"1,659"
Google Stickers,5,Paid Search,"1,632"
Puffer Vest,115,Paid Search,53
Greeting Cards,6,Social Media,"1,750"
Google Stickers,5,Social Media,526
Google Hoodie,124,Social Media,"1,339"
Notebook,20,Social Media,"3,517"
Greeting Cards,6,Referral,802
Google Stickers,5,Direct,598
Google Hoodie,124,Social Media,"2,087"
YouTube Cap,15,Organic Search,"2,342"
Greeting Cards,6,Organic Search,"3,072"
Google Water Bottle,10,Direct,"1,977"
Google Hoodie,124,Organic Search,"1,114"
Google Stickers,5,Paid Search,304
Greeting Cards,6,Referral,"1,144"
Greeting Cards,6,Social Media,142
Lanyard,6,Organic Search,878
Puffer Vest,115,Social Media,"3,465"
Google Stickers,5,Social Media,274
Google Stickers,5,Referral,"3,416"
Greeting Cards,6,Direct,"2,242"
Google Stickers,5,Direct,850
Lanyard,6,Paid Search,"3,275"
,,,
Google Water Bottle,10,Direct,242
Google Hoodie,124,Organic Search,"1,278"
Canvas Tote,18,Social Media,"1,718"
Google Stickers,5,Direct,"1,209"
Greeting Cards,6,Paid Search,"2,461"
Notebook,20,Social Media,"1,900"
Notebook,20,Paid Search,"1,542"
Google Stickers,5,Paid Search,"1,794"
Google Water Bottle,10,Social Media,620
Canvas Tote,18,Direct,503
Google Stickers,5,Paid Search,"2,276"
Google Stickers,5,Paid Search,"3,269"
YouTube Cap,15,Organic Search,"3,125"
Puffer Vest,115,Social Media,"3,521"
Google Stickers,5,Paid Search,"1,311"
Google Stickers,5,Direct,931
Puffer Vest,115,Paid Search,"3,093"
YouTube Cap,15,Organic Search,897
Android T-Shirt,20,Organic Search,"1,703"
Google Stickers,5,Direct,"2,230"
Lanyard,6,Organic Search,618
Google Stickers,5,Referral,373
Google Stickers,5,Social Media,"3,299"
Google Stickers,5,Social Media,"1,654"
Google Stickers,5,Organic Search,"2,799"
YouTube Cap,15,Referral,"3,524"
Backpack,125,Paid Search,5
Lanyard,6,Referral,886
Google Stickers,5,Direct,"1,805"
Google Hoodie,124,Organic Search,"2,087"
Lanyard,6,Paid Search,"3,065"
Canvas Tote,18,Social Media,"2,506"
Puffer Vest,115,Organic Search,"1,194"
Google Stickers,5,Paid Search,"1,009"
Backpack,125,Paid Search,"1,865"
YouTube Cap,15,Referral,780
Google Hoodie,124,Social Media,207
Notebook,20,Direct,73
YouTube Cap,15,Referral,672
Google Stickers,5,Referral,"3,259"
Notebook,20,Organic Search,"2,532"
Google Stickers,5,Referral,"1,538"
Canvas Tote,18,Referral,"3,492"
,,,
Puffer Vest,115,Social Media,312
Greeting Cards,6,Referral,"1,885"
Google Stickers,5,Referral,"1,707"
Google Water Bottle,10,Social Media,"3,029"
Android T-Shirt,20,Paid Search,"2,068"
Google Stickers,5,Paid Search,833
Google Hoodie,124,Paid Search,"1,415"
Google Stickers,5,Referral,262
Google Stickers,5,Organic Search,396
Google Hoodie,124,Paid Search,"2,129"
Google Stickers,5,Organic Search,"1,416"
Google Stickers,5,Direct,902
Google Water Bottle,10,Paid Search,780
Backpack,125,Organic Search,"3,590"
Android T-Shirt,20,Social Media,"1,251"
Puffer Vest,115,Social Media,"2,209"
Notebook,20,Social Media,178
Google Hoodie,124,Social Media,"2,456"
Greeting Cards,6,Paid Search,"3,190"
Google Stickers,5,Paid Search,"1,072"
Google Stickers,5,Social Media,985
Google Stickers,5,Referral,"1,734"
Greeting Cards,6,Social Media,"1,519"
Google Hoodie,124,Organic Search,"2,426"
Google Water Bottle,10,Social Media,313
Google Hoodie,124,Paid Search,683
Google Stickers,5,Social Media,"1,151"
Google Stickers,5,Social Media,"3,140"
Puffer Vest,115,Paid Search,190
Google Stickers,5,Direct,"2,151"
Puffer Vest,115,Direct,151
Google Stickers,5,Organic Search,64
Lanyard,6,Social Media,"1,134"
Google Stickers,5,Paid Search,"2,244"
Google Stickers,5,Organic Search,"2,223"
Google Stickers,5,Referral,"3,272"
Google Stickers,5,Direct,"3,068"
Notebook,20,Referral,317
Google Hoodie,124,Direct,"1,560"
Google Stickers,5,Referral,"1,986"
Google Stickers,5,Social Media,"3,439"
Google Stickers,5,Organic Search,490
Puffer Vest,115,Direct,"1,032"
Greeting Cards,6,Direct,600
Google Hoodie,124,Referral,"2,297"
Google Stickers,5,Referral,"1,107"
Notebook,20,Social Media,865
Notebook,20,Direct,"2,382"
YouTube Cap,15,Social Media,"2,974"
Google Stickers,5,Referral,641
Google Stickers,5,Social Media,781
Google Hoodie,124,Referral,"3,149"
Android T-Shirt,20,Referral,"1,555"
Greeting Cards,6,Paid Search,"3,485"
YouTube Cap,15,Direct,920
Notebook,20,Social Media,"2,796"
Notebook,20,Direct,"2,270"
Google Stickers,5,Social Media,"3,208"
Canvas Tote,18,Referral,"1,786"
Google Stickers,5,Referral,"2,935"
Google Stickers,5,Organic Search,620
Puffer Vest,115,Paid Search,41
Notebook,20,Referral,"3,528"
Google Water Bottle,10,Paid Search,"1,864"
Lanyard,6,Social Media,"3,226"
Backpack,125,Direct,346
Google Stickers,5,Organic Search,"3,536"
Google Stickers,5,Direct,"3,493"
Backpack,125,Social Media,"1,102"
Google Stickers,5,Social Media,"1,534"
Google Stickers,5,Referral,"1,826"
Google Stickers,5,Referral,129
Google Stickers,5,Social Media,"2,916"
Google Stickers,5,Paid Search,"1,794"
Backpack,125,Paid Search,"1,625"
Google Stickers,5,Referral,"2,581"
Notebook,20,Referral,336
,,,
Google Stickers,5,Paid Search,"1,440"
Google Hoodie,124,Referral,162
Canvas Tote,18,Direct,810
Google Water Bottle,10,Referral,"1,891"
Lanyard,6,Social Media,"2,803"
Lanyard,6,Social Media,"1,143"
YouTube Cap,15,Direct,247
Google Stickers,5,Referral,"1,330"
Google Stickers,5,Social Media,749
Canvas Tote,18,Direct,"1,508"
Greeting Cards,6,Paid Search,"3,378"
Google Hoodie,124,Social Media,565
Android T-Shirt,20,Organic Search,"1,900"
Google Stickers,5,Social Media,875
Google Water Bottle,10,Referral,"1,597"
Google Hoodie,124,Direct,"2,398"
Google Stickers,5,Direct,"2,314"
Puffer Vest,115,Organic Search,"2,805"
Backpack,125,Direct,"1,153"
Canvas Tote,18,Social Media,"2,082"
Lanyard,6,Social Media,"3,593"
Google Stickers,5,Social Media,"1,114"
Google Water Bottle,10,Organic Search,467
Google Hoodie,124,Direct,679
Greeting Cards,6,Paid Search,"3,086"
Google Stickers,5,Referral,"2,421"
Canvas Tote,18,Direct,"2,120"
YouTube Cap,15,Direct,422
Notebook,20,Referral,"3,036"
Google Stickers,5,Referral,"1,102"
Notebook,20,Referral,"1,164"
Google Hoodie,124,Social Media,"1,826"
Google Stickers,5,Social Media,"3,152"
Canvas Tote,18,Referral,221
Google Hoodie,124,Direct,"1,967"
Google Stickers,5,Direct,184
Puffer Vest,115,Organic Search,"2,922"
Backpack,125,Direct,422
YouTube Cap,15,Paid Search,"2,565"
Puffer Vest,115,Referral,368
Google Hoodie,124,Organic Search,"2,602"
Google Stickers,5,Organic Search,"3,462"
Google Hoodie,124,Social Media,"1,781"
Google Stickers,5,Organic Search,"2,527"
Lanyard,6,Organic Search,"2,067"
Google Hoodie,124,Organic Search,"2,615"
Google Stickers,5,Direct,"1,246"
Google Stickers,5,Direct,"3,230"
Google Stickers,5,Direct,"1,574"
Greeting Cards,6,Organic Search,29
,,,
Lanyard,6,Social Media,487
Google Stickers,5,Referral,"3,297"
Google Hoodie,124,Social Media,"2,395"
Puffer Vest,115,Social Media,"1,666"
Puffer Vest,115,Organic Search,544
Google Stickers,5,Direct,"1,159"
Google Stickers,5,Social Media,"2,112"
Google Stickers,5,Direct,39
Google Stickers,5,Paid Search,"1,473"
Google Hoodie,124,Paid Search,"2,422"
Lanyard,6,Social Media,"1,000"
Google Stickers,5,Direct,"2,153"
Google Stickers,5,Direct,"2,456"
Puffer Vest,115,Direct,"3,244"
Google Stickers,5,Referral,"2,501"
Google Hoodie,124,Social Media,"3,301"
Canvas Tote,18,Paid Search,76
Notebook,20,Referral,534
Google Hoodie,124,Referral,"2,483"
Google Stickers,5,Direct,"3,578"
Google Stickers,5,Organic Search,612
YouTube Cap,15,Referral,"1,583"
Google Stickers,5,Social Media,528
Backpack,125,Paid Search,"1,508"
Google Stickers,5,Direct,"2,247"
Google Hoodie,124,Paid Search,"2,405"
Google Stickers,5,Social Media,"1,214"
Google Stickers,5,Organic Search,"3,542"
Google Hoodie,124,Paid Search,273
Google Stickers,5,Social Media,"2,749"
Google Stickers,5,Social Media,922
Google Stickers,5,Direct,"2,503"
Google Stickers,5,Paid Search,"1,980"
Google Stickers,5,Referral,"1,139"
Android T-Shirt,20,Referral,870
Google Stickers,5,Social Media,"1,705"
Lanyard,6,Social Media,"2,437"
Backpack,125,Direct,"2,518"
Google Hoodie,124,Referral,727
Google Stickers,5,Social Media,"2,266"
YouTube Cap,15,Referral,794
Google Stickers,5,Referral,"3,034"
Google Stickers,5,Organic Search,"1,514"
YouTube Cap,15,Organic Search,526
Notebook,20,Paid Search,"2,864"
Lanyard,6,Direct,"1,538"
,,,
Google Stickers,5,Social Media,41
Google Water Bottle,10,Social Media,"1,807"
YouTube Cap,15,Organic Search,"2,144"
Android T-Shirt,20,Social Media,133
Backpack,125,Direct,"1,082"
Google Stickers,5,Organic Search,"3,032"
Google Stickers,5,Paid Search,902
Notebook,20,Social Media,"1,436"
Google Hoodie,124,Paid Search,"3,009"
Google Stickers,5,Paid Search,"1,411"
Notebook,20,Paid Search,"1,320"
Android T-Shirt,20,Direct,"3,492"
Puffer Vest,115,Paid Search,"3,236"
Lanyard,6,Organic Search,"3,432"
Google Stickers,5,Referral,"2,486"
Android T-Shirt,20,Social Media,"1,631"
Google Water Bottle,10,Social Media,"2,382"
Google Hoodie,124,Organic Search,"3,068"
Google Stickers,5,Referral,"1,235"
Google Hoodie,124,Social Media,76
Greeting Cards,6,Organic Search,"3,524"
Android T-Shirt,20,Paid Search,"1,436"
Greeting Cards,6,Organic Search,"3,018"
Google Water Bottle,10,Referral,"2,234"
Google Stickers,5,Direct,"2,935"
Android T-Shirt,20,Organic Search,"1,411"
Google Stickers,5,Direct,"2,082"
Google Stickers,5,Social Media,"3,147"
Google Stickers,5,Paid Search,"3,008"
Google Stickers,5,Organic Search,755
Google Water Bottle,10,Paid Search,"3,519"
Google Stickers,5,Referral,"2,456"
Google Hoodie,124,Social Media,503
Notebook,20,Direct,120
Canvas Tote,18,Direct,"1,243"
Puffer Vest,115,Referral,"2,402"
Google Stickers,5,Organic Search,358
Google Stickers,5,Paid Search,"2,971"
Google Stickers,5,Direct,392
Google Stickers,5,Referral,"2,836"
Lanyard,6,Direct,"2,850"
,,,
Google Stickers,5,Organic Search,385
Greeting Cards,6,Social Media,"2,316"
Notebook,20,Social Media,"1,374"
Google Water Bottle,10,Social Media,"2,124"
Google Water Bottle,10,Organic Search,"1,363"
Lanyard,6,Direct,"1,447"
Google Hoodie,124,Social Media,"1,933"
Canvas Tote,18,Organic Search,534
Google Stickers,5,Direct,"1,831"
Google Hoodie,124,Social Media,429
Google Stickers,5,Referral,"2,236"
Google Water Bottle,10,Referral,"3,370"
Backpack,125,Social Media,"2,781"
Canvas Tote,18,Paid Search,"1,116"
Greeting Cards,6,Referral,"3,149"
Google Hoodie,124,Paid Search,"1,436"
Puffer Vest,115,Direct,"2,903"
Google Stickers,5,Social Media,"2,387"
Google Stickers,5,Organic Search,"2,944"
Notebook,20,Direct,"1,343"
Google Stickers,5,Direct,"3,033"
Canvas Tote,18,Referral,"2,556"
Google Stickers,5,Paid Search,403
Notebook,20,Direct,"2,405"
Lanyard,6,Direct,"2,444"
Puffer Vest,115,Paid Search,889
Google Stickers,5,Social Media,"3,431"
Google Stickers,5,Organic Search,"3,068"
Puffer Vest,115,Social Media,"2,762"
Puffer Vest,115,Referral,"3,517"
Google Stickers,5,Social Media,"2,543"
Google Stickers,5,Organic Search,"2,188"
,,,
Canvas Tote,18,Direct,"1,685"
Google Stickers,5,Paid Search,144
Canvas Tote,18,Direct,"2,600"
Google Stickers,5,Social Media,"1,471"
Google Water Bottle,10,Organic Search,"2,221"
Canvas Tote,18,Referral,"1,950"
Backpack,125,Social Media,"2,841"
Google Stickers,5,Organic Search,"3,436"
Google Hoodie,124,Referral,"1,782"
Backpack,125,Organic Search,"1,187"
Canvas Tote,18,Direct,"2,179"
Canvas Tote,18,Social Media,"2,374"
Greeting Cards,6,Direct,"1,956"
Google Stickers,5,Paid Search,528
Greeting Cards,6,Direct,"1,951"
Lanyard,6,Paid Search,575
Google Hoodie,124,Social Media,"3,570"
Google Stickers,5,Organic Search,"2,242"
Google Stickers,5,Social Media,"2,285"
Google Stickers,5,Paid Search,"3,250"
Puffer Vest,115,Direct,873
Google Stickers,5,Paid Search,568
Google Hoodie,124,Referral,"3,435"
Android T-Shirt,20,Paid Search,"1,516"
Google Water Bottle,10,Organic Search,"3,332"
Puffer Vest,115,Direct,"3,295"
Canvas Tote,18,Social Media,"1,967"
Greeting Cards,6,Direct,"2,820"
Greeting Cards,6,Direct,"3,229"
Greeting Cards,6,Organic Search,372
YouTube Cap,15,Direct,"3,066"
Backpack,125,Social Media,"1,184"
,,,
Google Stickers,5,Paid Search,"2,166"
Android T-Shirt,20,Referral,"3,525"
Puffer Vest,115,Direct,"2,776"
Google Water Bottle,10,Paid Search,"3,208"
Google Stickers,5,Organic Search,120
Android T-Shirt,20,Social Media,"1,889"
Google Stickers,5,Organic Search,"3,447"
Puffer Vest,115,Referral,23
YouTube Cap,15,Direct,"2,778"
Google Stickers,5,Social Media,"3,013"
Google Water Bottle,10,Referral,368
Canvas Tote,18,Direct,"2,710"
Notebook,20,Paid Search,"3,333"
Google Stickers,5,Direct,"1,673"
Notebook,20,Direct,"1,795"
YouTube Cap,15,Organic Search,"1,133"
Google Hoodie,124,Referral,"2,969"
Lanyard,6,Social Media,"2,932"
Google Stickers,5,Social Media,570
Lanyard,6,Direct,"1,243"
Google Stickers,5,Organic Search,210
Notebook,20,Direct,20
Notebook,20,Referral,"3,581"
Google Stickers,5,Referral,133
Greeting Cards,6,Organic Search,"3,128"
Google Stickers,5,Referral,"1,401"
Google Stickers,5,Direct,"3,310"
Canvas Tote,18,Organic Search,"1,323"
Backpack,125,Direct,"1,705"
Google Hoodie,124,Paid Search,319
Google Stickers,5,Referral,"2,112"
Google Hoodie,124,Organic Search,95
Backpack,125,Organic Search,"2,985"
Backpack,125,Paid Search,"1,393"
Puffer Vest,115,Social Media,355
Google Stickers,5,Direct,827
Google Stickers,5,Social Media,"1,970"
Google Stickers,5,Organic Search,896
Google Stickers,5,Paid Search,225
Notebook,20,Paid Search,161
Google Stickers,5,Direct,507
Google Hoodie,124,Direct,"3,428"
Google Stickers,5,Direct,"3,439"
Google Stickers,5,Referral,"2,831"
Greeting Cards,6,Social Media,"2,966"
Google Stickers,5,Direct,612
Google Stickers,5,Direct,561
Lanyard,6,Direct,180
Puffer Vest,115,Direct,"2,723"
Canvas Tote,18,Social Media,"2,221"
Android T-Shirt,20,Paid Search,955
Google Stickers,5,Paid Search,"1,882"
YouTube Cap,15,Direct,240
Puffer Vest,115,Paid Search,"2,399"
Google Stickers,5,Paid Search,"1,789"
Notebook,20,Paid Search,"2,187"
,,,
Google Stickers,5,Social Media,"1,779"
Google Stickers,5,Referral,"1,784"
Lanyard,6,Social Media,262
Android T-Shirt,20,Referral,"2,967"
Canvas Tote,18,Direct,"2,471"
Google Hoodie,124,Social Media,179
Puffer Vest,115,Direct,"2,973"
Google Stickers,5,Paid Search,"1,389"
Greeting Cards,6,Organic Search,"2,548"
YouTube Cap,15,Organic Search,"2,331"
Notebook,20,Social Media,"1,990"
Puffer Vest,115,Referral,"2,914"
Google Stickers,5,Paid Search,"2,899"
Notebook,20,Direct,584
Canvas Tote,18,Paid Search,"2,173"
Google Hoodie,124,Organic Search,"2,280"
Google Stickers,5,Direct,"1,605"
Google Stickers,5,Paid Search,232
Greeting Cards,6,Organic Search,458
Canvas Tote,18,Referral,"1,646"
Google Hoodie,124,Social Media,"3,129"
Lanyard,6,Social Media,"1,156"
Android T-Shirt,20,Paid Search,"1,885"
Notebook,20,Social Media,"1,344"
Google Stickers,5,Social Media,"2,144"
Google Stickers,5,Social Media,"2,724"
Puffer Vest,115,Paid Search,977
Google Stickers,5,Direct,565
Android T-Shirt,20,Social Media,"3,320"
Notebook,20,Referral,292
YouTube Cap,15,Referral,"2,452"
Google Hoodie,124,Paid Search,"3,031"
Backpack,125,Direct,"1,388"
Notebook,20,Referral,"3,519"
Canvas Tote,18,Paid Search,"2,146"
Canvas Tote,18,Direct,"3,561"
Puffer Vest,115,Referral,"1,248"
Canvas Tote,18,Paid Search,"2,778"
Android T-Shirt,20,Paid Search,"3,442"
Google Hoodie,124,Social Media,"1,880"
Google Stickers,5,Paid Search,"1,060"
Canvas Tote,18,Direct,"3,316"
Puffer Vest,115,Paid Search,597
YouTube Cap,15,Direct,"1,927"
Backpack,125,Social Media,"2,827"
Google Stickers,5,Organic Search,"1,454"
Google Stickers,5,Paid Search,"1,574"
Google Stickers,5,Paid Search,"3,524"
Google Stickers,5,Paid Search,"1,253"
Google Hoodie,124,Referral,"1,939"
Google Stickers,5,Direct,"3,149"
Google Stickers,5,Direct,494
Backpack,125,Direct,"2,788"
Google Stickers,5,Organic Search,407
Google Hoodie,124,Social Media,355
Greeting Cards,6,Social Media,"2,679"
Notebook,20,Social Media,"3,286"
Google Stickers,5,Direct,889
Google Stickers,5,Social Media,"3,294"
Google Stickers,5,Direct,"2,249"
Backpack,125,Organic Search,"2,398"
Puffer Vest,115,Social Media,"2,097"
Google Stickers,5,Direct,"3,065"
Backpack,125,Referral,"2,885"
Google Stickers,5,Paid Search,"2,082"
Google Stickers,5,Organic Search,"1,636"
Puffer Vest,115,Organic Search,"3,432"
Greeting Cards,6,Organic Search,"1,276"
Google Hoodie,124,Organic Search,403
Google Stickers,5,Social Media,"1,393"
Lanyard,6,Direct,"1,448"
Notebook,20,Paid Search,"3,209"
Greeting Cards,6,Direct,301
Backpack,125,Paid Search,"1,054"
Google Stickers,5,Social Media,"2,200"
Notebook,20,Paid Search,"1,868"
Google Water Bottle,10,Social Media,"3,394"
Google Stickers,5,Social Media,"2,748"
Lanyard,6,Paid Search,"3,351"
YouTube Cap,15,Direct,"2,244"
Android T-Shirt,20,Organic Search,198
Notebook,20,Organic Search,"3,327"
Greeting Cards,6,Paid Search,738
Greeting Cards,6,Direct,"2,965"
YouTube Cap,15,Organic Search,368
Lanyard,6,Referral,"2,885"
Google Stickers,5,Paid Search,"3,414"
Canvas Tote,18,Referral,537
Google Stickers,5,Paid Search,"3,349"
Canvas Tote,18,Referral,"3,517"
Google Water Bottle,10,Referral,536
Greeting Cards,6,Paid Search,"1,878"
Google Stickers,5,Paid Search,"2,780"
Google Stickers,5,Paid Search,431
Google Stickers,5,Referral,"3,353"
Google Hoodie,124,Paid Search,838
Backpack,125,Paid Search,922
Lanyard,6,Organic Search,"3,312"
Google Hoodie,124,Social Media,"2,332"
Canvas Tote,18,Organic Search,707
Android T-Shirt,20,Direct,268
Google Hoodie,124,Paid Search,"3,250"
Google Stickers,5,Organic Search,963
Puffer Vest,115,Paid Search,"2,725"
Lanyard,6,Referral,"1,722"
Greeting Cards,6,Direct,"1,555"
Google Hoodie,124,Direct,"2,100"
YouTube Cap,15,Direct,"2,625"
YouTube Cap,15,Direct,"1,250"
Notebook,20,Social Media,"1,363"
Google Stickers,5,Social Media,"3,237"
Lanyard,6,Organic Search,106
Greeting Cards,6,Paid Search,"1,719"
YouTube Cap,15,Paid Search,"1,580"
Puffer Vest,115,Organic Search,"1,229"
Google Hoodie,124,Paid Search,223
Google Stickers,5,Referral,"2,675"
Google Stickers,5,Social Media,"1,177"
Canvas Tote,18,Organic Search,"1,977"
Android T-Shirt,20,Organic Search,"2,307"
Lanyard,6,Organic Search,"1,009"
Notebook,20,Direct,663
Google Stickers,5,Social Media,594
Backpack,125,Organic Search,"2,639"
Google Stickers,5,Direct,903
Google Stickers,5,Social Media,469
Greeting Cards,6,Organic Search,"1,678"
Canvas Tote,18,Referral,"3,136"
Lanyard,6,Direct,"3,448"
Backpack,125,Referral,"3,416"
Canvas Tote,18,Direct,23
Google Stickers,5,Referral,489
Google Stickers,5,Direct,"1,605"
Google Stickers,5,Organic Search,19
Android T-Shirt,20,Referral,"1,134"
Lanyard,6,Direct,256
YouTube Cap,15,Organic Search,"2,835"
Google Stickers,5,Direct,238
Puffer Vest,115,Organic Search,765
Google Stickers,5,Social Media,142
Google Stickers,5,Social Media,"2,470"
